# ========
# Ratio-margin	01 percent
city_year	p0	p1	p2	p3	
c0_t0	3.17186e+09	1.05272e+08	1.46044e+10	3.84867e+08
c0_t1	2.72861e+09	1.16885e+08	1.70202e+10	4.8353e+08
c1_t0	3.20697e+09	1.35265e+08	1.70343e+10	1.68652e+08
c1_t1	3.19967e+09	1.90527e+08	2.01234e+10	1.72728e+08
c2_t0	1.09418e+09	5.51971e+07	7.53069e+09	1.49085e+08
c2_t1	8.79368e+08	6.38795e+07	7.30234e+09	1.17087e+08
c3_t0	1.97964e+09	9.43659e+07	1.54781e+10	6.30829e+08
c3_t1	2.21677e+09	9.56852e+07	1.55992e+10	5.05307e+08
c4_t0	8.73764e+08	1.05596e+08	8.56347e+09	1.19689e+08
c4_t1	8.94474e+08	9.62536e+07	8.62622e+09	7.99258e+07
c5_t0	1.54085e+09	8.82169e+07	9.76885e+09	5.03208e+07
c5_t1	1.12556e+09	8.82549e+07	1.06693e+10	1.3286e+08
c6_t0	2.81347e+09	1.12562e+08	1.50301e+10	1.64267e+08
c6_t1	2.99499e+09	1.03172e+08	1.79224e+10	1.1285e+08
# ========
# Ratio-margin	02 percent
city_year	p0	p1	p2	p3	
c0_t0	3.16742e+09	1.06325e+08	1.44639e+10	3.81093e+08
c0_t1	2.72479e+09	1.18054e+08	1.68565e+10	4.74096e+08
c1_t0	3.20249e+09	1.36618e+08	1.68704e+10	1.66999e+08
c1_t1	3.1952e+09	1.92432e+08	1.99298e+10	1.69358e+08
c2_t0	1.09265e+09	5.57491e+07	7.45825e+09	1.47624e+08
c2_t1	8.78138e+08	6.45183e+07	7.2321e+09	1.14802e+08
c3_t0	1.97687e+09	9.53096e+07	1.53292e+10	6.24644e+08
c3_t1	2.21367e+09	9.6642e+07	1.54492e+10	4.95448e+08
c4_t0	8.72542e+08	1.06652e+08	8.48109e+09	1.18515e+08
c4_t1	8.93223e+08	9.72162e+07	8.54324e+09	7.83663e+07
c5_t0	1.5387e+09	8.90991e+07	9.67488e+09	5.03208e+07
c5_t1	1.12398e+09	8.91374e+07	1.06713e+10	1.31558e+08
c6_t0	2.80953e+09	1.13688e+08	1.50329e+10	1.64267e+08
c6_t1	2.9908e+09	1.03172e+08	1.775e+10	1.11744e+08
# ========
# Ratio-margin	03 percent
city_year	p0	p1	p2	p3	
c0_t0	1.95009e+09	1.05272e+08	1.53534e+10	3.77393e+08
c0_t1	1.67758e+09	1.16885e+08	1.7372e+10	4.64935e+08
c1_t0	1.97168e+09	1.35265e+08	1.79079e+10	1.65377e+08
c1_t1	1.96719e+09	1.90527e+08	2.05393e+10	1.66085e+08
c2_t0	6.72716e+08	5.51971e+07	7.91691e+09	1.4619e+08
c2_t1	5.40644e+08	6.38795e+07	7.45325e+09	1.12584e+08
c3_t0	1.2171e+09	9.43659e+07	1.62719e+10	6.1858e+08
c3_t1	1.3629e+09	9.56852e+07	1.59216e+10	4.85874e+08
c4_t0	5.37199e+08	1.05596e+08	9.00265e+09	1.17365e+08
c4_t1	5.49932e+08	9.62536e+07	8.80448e+09	7.6852e+07
c5_t0	9.47331e+08	8.82169e+07	1.02699e+10	5.03208e+07
c5_t1	6.92003e+08	8.82549e+07	1.11055e+10	1.3028e+08
c6_t0	1.72975e+09	1.12562e+08	1.61138e+10	1.64267e+08
c6_t1	1.84135e+09	1.03172e+08	1.88415e+10	1.10659e+08
# ========
# Ratio-margin	05 percent
city_year	p0	p1	p2	p3	
c0_t0	1.17764e+09	1.05272e+08	1.57013e+10	3.70205e+08
c0_t1	1.01308e+09	1.16885e+08	1.74655e+10	4.47391e+08
c1_t0	1.19068e+09	1.35265e+08	1.83137e+10	1.62227e+08
c1_t1	1.18797e+09	1.90527e+08	2.06498e+10	1.59818e+08
c2_t0	4.06248e+08	5.51971e+07	8.09633e+09	1.43406e+08
c2_t1	3.26491e+08	6.38795e+07	7.49337e+09	1.08336e+08
c3_t0	7.34999e+08	9.43659e+07	1.66407e+10	6.06797e+08
