# Ratio-margin	Law-error
01	2.70886
02	2.58371
03	2.46631
05	2.21074
06	2.09917
07	1.99224
08	1.88726
09	1.78418
10	1.68658
11	1.59587
12	1.50696
13	1.41959
14	1.33376
15	1.24942
16	1.1713
17	1.0858
18	1.00172
19	0.927262
20	0.85595
21	0.792039
22	0.729175
23	0.667324
24	0.606473
25	0.546596
26	0.490199
27	0.43991
28	0.393348
30	0.321314
31	0.288895
32	0.258815
33	0.234721
34	0.210986
35	0.187603
36	0.166686
37	0.151138
39	0.132082
40	0.123784
41	0.115683
42	0.107922
43	0.100341
44	0.0930081
45	0.085851
46	0.0788838
47	0.0722034
48	0.0656785
49	0.0594178
50	0.0532834
51	0.0476897
52	0.0420578
53	0.03607
54	0.0306674
55	0.0254201
56	0.0203216
57	0.0159369
58	0.0105456
59	0.00585662
60	0.0318223
61	0.0293014
62	0.0276509
63	0.0235112
64	0.0185528
65	0
66	0
67	0
68	0
69	0
72	0
74	0.00623892
75	0.00242273
76	0
77	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
97	0
98	0
